a,b,c,d,e
721,773.2916667,60,10,-52.29166667
856,773.2916667,60,-10,82.70833333
677,773.2916667,60,-10,-96.29166667
704,773.2916667,60,-10,-69.29166667
732,773.2916667,60,10,-41.29166667
755,773.2916667,60,10,-18.29166667
726,773.2916667,60,10,-47.29166667
706,773.2916667,60,-10,-67.29166667
704,773.2916667,60,-10,-69.29166667
714,773.2916667,60,10,-59.29166667
792,773.2916667,60,10,18.70833333
698,773.2916667,60,-10,-75.29166667
741,773.2916667,60,10,-32.29166667
718,773.2916667,60,10,-55.29166667
732,773.2916667,60,10,-41.29166667
736,773.2916667,60,10,-37.29166667
760,773.2916667,60,10,-13.29166667
901,773.2916667,60,-10,127.7083333
771,773.2916667,60,10,-2.291666667
733,773.2916667,60,10,-40.29166667
720,773.2916667,60,10,-53.29166667
741,773.2916667,60,10,-32.29166667
725,773.2916667,60,10,-48.29166667
842,773.2916667,60,-10,68.70833333
727,773.2916667,60,10,-46.29166667
730,773.2916667,60,10,-43.29166667
755,773.2916667,60,10,-18.29166667
763,773.2916667,60,10,-10.29166667
722,773.2916667,60,10,-51.29166667
744,773.2916667,60,10,-29.29166667
714,773.2916667,60,10,-59.29166667
731,773.2916667,60,10,-42.29166667
784,773.2916667,60,10,10.70833333
920,773.2916667,60,-10,146.7083333
762,773.2916667,60,10,-11.29166667
893,773.2916667,60,-10,119.7083333
618,773.2916667,60,-10,-155.2916667
867,773.2916667,60,-10,93.70833333
805,773.2916667,60,10,31.70833333
826,773.2916667,60,10,52.70833333
826,773.2916667,60,10,52.70833333
752,773.2916667,60,10,-21.29166667
840,773.2916667,60,-10,66.70833333
860,773.2916667,60,-10,86.70833333
806,773.2916667,60,10,32.70833333
826,773.2916667,60,10,52.70833333
799,773.2916667,60,10,25.70833333
640,773.2916667,60,-10,-133.2916667
797,773.2916667,60,10,23.70833333
735,773.2916667,60,10,-38.29166667
789,773.2916667,60,10,15.70833333
845,773.2916667,60,-10,71.70833333
867,773.2916667,60,-10,93.70833333
744,773.2916667,60,10,-29.29166667
776,773.2916667,60,10,2.708333333
807,773.2916667,60,10,33.70833333
816,773.2916667,60,10,42.70833333
850,773.2916667,60,-10,76.70833333
912,773.2916667,60,-10,138.7083333
759,773.2916667,60,10,-14.29166667
772,773.2916667,60,10,-1.291666667
841,773.2916667,60,-10,67.70833333
689,773.2916667,60,-10,-84.29166667
880,773.2916667,60,-10,106.7083333
778,773.2916667,60,10,4.708333333
730,773.2916667,60,10,-43.29166667
839,773.2916667,60,-10,65.70833333
695,773.2916667,60,-10,-78.29166667
911,773.2916667,60,-10,137.7083333
877,773.2916667,60,-10,103.7083333
749,773.2916667,60,10,-24.29166667
775,773.2916667,60,10,1.708333333
724,773.2916667,60,10,-49.29166667
791,773.2916667,60,10,17.70833333
739,773.2916667,60,10,-34.29166667
853,773.2916667,60,-10,79.70833333
765,773.2916667,60,10,-8.291666667
773,773.2916667,60,10,-0.291666667
828,773.2916667,60,10,54.70833333
759,773.2916667,60,10,-14.29166667
807,773.2916667,60,10,33.70833333
841,773.2916667,60,-10,67.70833333
855,773.2916667,60,-10,81.70833333
904,773.2916667,60,-10,130.7083333
770,773.2916667,60,10,-3.291666667
915,773.2916667,60,-10,141.7083333
825,773.2916667,60,10,51.70833333
768,773.2916667,60,10,-5.291666667
780,773.2916667,60,10,6.708333333
847,773.2916667,60,-10,73.70833333
789,773.2916667,60,10,15.70833333
932,773.2916667,60,-10,158.7083333
753,773.2916667,60,10,-20.29166667
841,773.2916667,60,-10,67.70833333
822,773.2916667,60,10,48.70833333
851,773.2916667,60,-10,77.70833333
785,773.2916667,60,10,11.70833333
734,773.2916667,60,10,-39.29166667
752,773.2916667,60,10,-21.29166667
778,773.2916667,60,10,4.708333333
789,773.2916667,60,10,15.70833333
787,773.2916667,60,10,13.70833333
773,773.2916667,60,10,-0.291666667
759,773.2916667,60,10,-14.29166667
788,773.2916667,60,10,14.70833333
746,773.2916667,60,10,-27.29166667
781,773.2916667,60,10,7.708333333
785,773.2916667,60,10,11.70833333
796,773.2916667,60,10,22.70833333
849,773.2916667,60,-10,75.70833333
809,773.2916667,60,10,35.70833333
804,773.2916667,60,10,30.70833333
850,773.2916667,60,-10,76.70833333
947,773.2916667,60,-10,173.7083333
841,773.2916667,60,-10,67.70833333
799,773.2916667,60,10,25.70833333
883,773.2916667,60,-10,109.7083333
879,773.2916667,60,-10,105.7083333
831,773.2916667,60,10,57.70833333
785,773.2916667,60,10,11.70833333
940,773.2916667,60,-10,166.7083333
780,773.2916667,60,10,6.708333333
750,773.2916667,60,10,-23.29166667
707,773.2916667,60,-10,-66.29166667
852,773.2916667,60,-10,78.70833333
827,773.2916667,60,10,53.70833333
881,773.2916667,60,-10,107.7083333
797,773.2916667,60,10,23.70833333
799,773.2916667,60,10,25.70833333
780,773.2916667,60,10,6.708333333
825,773.2916667,60,10,51.70833333
737,773.2916667,60,10,-36.29166667
745,773.2916667,60,10,-28.29166667
709,773.2916667,60,-10,-64.29166667
766,773.2916667,60,10,-7.291666667
812,773.2916667,60,10,38.70833333
795,773.2916667,60,10,21.70833333
786,773.2916667,60,10,12.70833333
902,773.2916667,60,-10,128.7083333
799,773.2916667,60,10,25.70833333
803,773.2916667,60,10,29.70833333
793,773.2916667,60,10,19.70833333
756,773.2916667,60,10,-17.29166667
837,773.2916667,60,-10,63.70833333
762,773.2916667,60,10,-11.29166667
731,773.2916667,60,10,-42.29166667
752,773.2916667,60,10,-21.29166667
744,773.2916667,60,10,-29.29166667
746,773.2916667,60,10,-27.29166667
681,773.2916667,60,-10,-92.29166667
716,773.2916667,60,10,-57.29166667
733,773.2916667,60,10,-40.29166667
770,773.2916667,60,10,-3.291666667
815,773.2916667,60,10,41.70833333
743,773.2916667,60,10,-30.29166667
726,773.2916667,60,10,-47.29166667
780,773.2916667,60,10,6.708333333
726,773.2916667,60,10,-47.29166667
703,773.2916667,60,-10,-70.29166667
785,773.2916667,60,10,11.70833333
793,773.2916667,60,10,19.70833333
735,773.2916667,60,10,-38.29166667
692,773.2916667,60,-10,-81.29166667
718,773.2916667,60,10,-55.29166667
696,773.2916667,60,-10,-77.29166667
709,773.2916667,60,-10,-64.29166667
661,773.2916667,60,-10,-112.2916667
754,773.2916667,60,10,-19.29166667
769,773.2916667,60,10,-4.291666667
759,773.2916667,60,10,-14.29166667
700,773.2916667,60,-10,-73.29166667
712,773.2916667,60,-10,-61.29166667
719,773.2916667,60,10,-54.29166667
691,773.2916667,60,-10,-82.29166667
811,773.2916667,60,10,37.70833333
646,773.2916667,60,-10,-127.2916667
760,773.2916667,60,10,-13.29166667
721,773.2916667,60,10,-52.29166667
707,773.2916667,60,-10,-66.29166667
800,773.2916667,60,10,26.70833333
725,773.2916667,60,10,-48.29166667
694,773.2916667,60,-10,-79.29166667
671,773.2916667,60,-10,-102.2916667
699,773.2916667,60,-10,-74.29166667
739,773.2916667,60,10,-34.29166667
771,773.2916667,60,10,-2.291666667
724,773.2916667,60,10,-49.29166667
697,773.2916667,60,-10,-76.29166667
732,773.2916667,60,10,-41.29166667
764,773.2916667,60,10,-9.291666667
786,773.2916667,60,10,12.70833333
717,773.2916667,60,10,-56.29166667
708,773.2916667,60,-10,-65.29166667
721,773.2916667,60,10,-52.29166667
714,773.2916667,60,10,-59.29166667
859,773.2916667,60,-10,85.70833333
737,773.2916667,60,10,-36.29166667
823,773.2916667,60,10,49.70833333
818,773.2916667,60,10,44.70833333
814,773.2916667,60,10,40.70833333
873,773.2916667,60,-10,99.70833333
644,773.2916667,60,-10,-129.2916667
709,773.2916667,60,-10,-64.29166667
749,773.2916667,60,10,-24.29166667
728,773.2916667,60,10,-45.29166667
703,773.2916667,60,-10,-70.29166667
687,773.2916667,60,-10,-86.29166667
724,773.2916667,60,10,-49.29166667
703,773.2916667,60,-10,-70.29166667
693,773.2916667,60,-10,-80.29166667
694,773.2916667,60,-10,-79.29166667
851,773.2916667,60,-10,77.70833333
803,773.2916667,60,10,29.70833333
749,773.2916667,60,10,-24.29166667
729,773.2916667,60,10,-44.29166667
725,773.2916667,60,10,-48.29166667
